OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,PhysActivity_Census_Tract_Estimate,PhysActivity_Estimate_Confidence_Interval,PhysActivity_Map_Symbol_withinHSR,PhysActivity_County_Regional_Estimate,PhysActivity_Map_Symbol_State,PhysActivity_State_Estimate
12,8081000600,"Census Tract 6, Moffat County, Colorado",Moffat,958,11,17.1,95% C.I.: 14.7 - 19.9,Fourth Quintile,County/Regional Estimate 20% (95% C.I.: 12.6 - 27.5),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
13,8081000500,"Census Tract 5, Moffat County, Colorado",Moffat,3137,11,17.9,95% C.I.: 15.5 - 20.5,Fourth Quintile,County/Regional Estimate 20% (95% C.I.: 12.6 - 27.5),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
14,8081000400,"Census Tract 4, Moffat County, Colorado",Moffat,3471,11,18.4,95% C.I.: 15.9 - 21.2,Highest Quintile,County/Regional Estimate 20% (95% C.I.: 12.6 - 27.5),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
15,8081000300,"Census Tract 3, Moffat County, Colorado",Moffat,2123,11,17.9,95% C.I.: 15.9 - 20.1,Highest Quintile,County/Regional Estimate 20% (95% C.I.: 12.6 - 27.5),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
16,8057955600,"Census Tract 9556, Jackson County, Colorado",Jackson,1082,11,36.4,95% C.I.: 33.3 - 42.1,Highest Quintile,County/Regional Estimate 17.1% (95% C.I.: 12.8 - 21.3),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
17,8121924100,"Census Tract 9241, Washington County, Colorado",Washington,1455,1,36,95% C.I.: 32.6 - 39.9,Highest Quintile,County/Regional Estimate 35.1% (95% C.I.: 21.8 - 48.3),Highest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
18,8107000800,"Census Tract 8, Routt County, Colorado",Routt,1658,11,10.6,95% C.I.: 9.4 - 12.7,Second Quintile,County/Regional Estimate 11.3% (95% C.I.: 5.8 - 16.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
19,8107000700,"Census Tract 7, Routt County, Colorado",Routt,4215,11,12.3,95% C.I.: 10.9 - 14.2,Middle Quintile,County/Regional Estimate 11.3% (95% C.I.: 5.8 - 16.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
20,8107000500,"Census Tract 5, Routt County, Colorado",Routt,3589,11,12.5,95% C.I.: 11.2 - 14.5,Fourth Quintile,County/Regional Estimate 11.3% (95% C.I.: 5.8 - 16.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
21,8107000200,"Census Tract 2, Routt County, Colorado",Routt,1487,11,10.2,95% C.I.: 9 - 12.5,Lowest Quintile,County/Regional Estimate 11.3% (95% C.I.: 5.8 - 16.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
22,8107000400,"Census Tract 4, Routt County, Colorado",Routt,2958,11,10.4,95% C.I.: 9.3 - 12.4,Second Quintile,County/Regional Estimate 11.3% (95% C.I.: 5.8 - 16.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
23,8107000600,"Census Tract 6, Routt County, Colorado",Routt,2509,11,10.8,95% C.I.: 9.5 - 12.3,Second Quintile,County/Regional Estimate 11.3% (95% C.I.: 5.8 - 16.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
24,8107000300,"Census Tract 3, Routt County, Colorado",Routt,1805,11,10.1,95% C.I.: 9 - 11.8,Lowest Quintile,County/Regional Estimate 11.3% (95% C.I.: 5.8 - 16.8),Lowest Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
