OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,HeartDisease_Census_Tract_Estimate,HeartDisease_Estimate_Confidence_Interval,HeartDisease_Map_Symbol_withinHSR,HeartDisease_County_Regional_Estimate,HeartDisease_Map_Symbol_State,HeartDisease_State_Estimate
23,8107000600,"Census Tract 6, Routt County, Colorado",Routt,2509,11,1.3,95% C.I.: 1 - 2.5,Second Quintile,County/Regional Estimate 1.1% (95% C.I.: 0.3 - 1.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
24,8107000300,"Census Tract 3, Routt County, Colorado",Routt,1805,11,1.6,95% C.I.: 1.3 - 2.8,Middle Quintile,County/Regional Estimate 1.1% (95% C.I.: 0.3 - 1.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
25,8107000100,"Census Tract 1, Routt County, Colorado",Routt,1532,11,1.9,95% C.I.: 1.5 - 2.8,Middle Quintile,County/Regional Estimate 1.1% (95% C.I.: 0.3 - 1.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
26,8051963900,"Census Tract 9639, Gunnison County, Colorado",Gunnison,776,10,1.9,95% C.I.: 1.3 - 4.1,Lowest Quintile,County/Regional Estimate 1.3% (95% C.I.: 0 - 2.6),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
27,8051963700,"Census Tract 9637, Gunnison County, Colorado",Gunnison,5729,10,0.7,95% C.I.: 0.4 - 2.6,Lowest Quintile,County/Regional Estimate 1.3% (95% C.I.: 0 - 2.6),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
28,8051963600,"Census Tract 9636, Gunnison County, Colorado",Gunnison,3065,10,1.4,95% C.I.: 1.1 - 2.9,Lowest Quintile,County/Regional Estimate 1.3% (95% C.I.: 0 - 2.6),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
29,8051963800,"Census Tract 9638, Gunnison County, Colorado",Gunnison,3774,10,1,95% C.I.: 0.7 - 2.3,Lowest Quintile,County/Regional Estimate 1.3% (95% C.I.: 0 - 2.6),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
30,8021974900,"Census Tract 9749, Conejos County, Colorado",Conejos,3029,8,1.8,95% C.I.: 1.1 - 6.1,Second Quintile,County/Regional Estimate 3.8% (95% C.I.: 0 - 8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
31,8021974800,"Census Tract 9748, Conejos County, Colorado",Conejos,2876,8,2.2,95% C.I.: 1.3 - 6.7,Middle Quintile,County/Regional Estimate 3.8% (95% C.I.: 0 - 8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
32,8037000703,"Census Tract 7.03, Eagle County, Colorado",Eagle,2394,12,2.2,95% C.I.: 1.8 - 3.1,Middle Quintile,County/Regional Estimate 2.9% (95% C.I.: 1.1 - 4.6),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
