OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,HeartDisease_Census_Tract_Estimate,HeartDisease_Estimate_Confidence_Interval,HeartDisease_Map_Symbol_withinHSR,HeartDisease_County_Regional_Estimate,HeartDisease_Map_Symbol_State,HeartDisease_State_Estimate
345,8059010213,"Census Tract 102.13, Jefferson County, Colorado",Jefferson,3945,21,2.4,95% C.I.: 2.3 - 2.6,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
346,8059010304,"Census Tract 103.04, Jefferson County, Colorado",Jefferson,2264,21,3.3,95% C.I.: 3.2 - 3.5,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
347,8059009839,"Census Tract 98.39, Jefferson County, Colorado",Jefferson,1809,21,2.9,95% C.I.: 2.8 - 3,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
348,8059060300,"Census Tract 603, Jefferson County, Colorado",Jefferson,3502,21,2.2,95% C.I.: 2.1 - 2.4,Lowest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
349,8059060500,"Census Tract 605, Jefferson County, Colorado",Jefferson,4012,21,2.8,95% C.I.: 2.7 - 3,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
350,8059060400,"Census Tract 604, Jefferson County, Colorado",Jefferson,2736,21,2.6,95% C.I.: 2.5 - 2.8,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
351,8059009851,"Census Tract 98.51, Jefferson County, Colorado",Jefferson,2885,21,3.4,95% C.I.: 3.2 - 3.6,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
352,8059009837,"Census Tract 98.37, Jefferson County, Colorado",Jefferson,3003,21,3.2,95% C.I.: 3.1 - 3.4,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
353,8059009838,"Census Tract 98.38, Jefferson County, Colorado",Jefferson,4331,21,3.2,95% C.I.: 3.1 - 3.3,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
354,8059009827,"Census Tract 98.27, Jefferson County, Colorado",Jefferson,4806,21,2.4,95% C.I.: 2.3 - 2.6,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
355,8059009815,"Census Tract 98.15, Jefferson County, Colorado",Jefferson,4057,21,3.2,95% C.I.: 3 - 3.3,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
356,8059009808,"Census Tract 98.08, Jefferson County, Colorado",Jefferson,4757,21,2.9,95% C.I.: 2.8 - 3.1,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
357,8059009840,"Census Tract 98.40, Jefferson County, Colorado",Jefferson,3174,21,3.6,95% C.I.: 3.5 - 3.8,Highest Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
358,8059009836,"Census Tract 98.36, Jefferson County, Colorado",Jefferson,3227,21,3.5,95% C.I.: 3.3 - 3.7,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
359,8115968300,"Census Tract 9683, Sedgwick County, Colorado",Sedgwick,1840,1,8.9,95% C.I.: 6.2 - 15.4,Highest Quintile,County/Regional Estimate 8.2% (95% C.I.: 0.9 - 15.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
360,8059010211,"Census Tract 102.11, Jefferson County, Colorado",Jefferson,2751,21,3.4,95% C.I.: 3.3 - 3.7,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
361,8059010307,"Census Tract 103.07, Jefferson County, Colorado",Jefferson,4031,21,2.5,95% C.I.: 2.4 - 2.8,Second Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
362,8059010306,"Census Tract 103.06, Jefferson County, Colorado",Jefferson,2419,21,3,95% C.I.: 2.9 - 3.2,Middle Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
363,8059009841,"Census Tract 98.41, Jefferson County, Colorado",Jefferson,1947,21,3.5,95% C.I.: 3.4 - 3.7,Fourth Quintile,County/Regional Estimate 3% (95% C.I.: 2.5 - 3.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
364,8095967600,"Census Tract 9676, Phillips County, Colorado",Phillips,2264,1,6.2,95% C.I.: 5.2 - 14.5,Fourth Quintile,County/Regional Estimate 8.7% (95% C.I.: 2.5 - 14.8),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
365,8095967700,"Census Tract 9677, Phillips County, Colorado",Phillips,985,1,7.1,95% C.I.: 6.1 - 12.2,Highest Quintile,County/Regional Estimate 8.7% (95% C.I.: 2.5 - 14.8),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
366,8013013003,"Census Tract 130.03, Boulder County, Colorado",Boulder,4703,16,2.6,95% C.I.: 2.4 - 2.7,Fourth Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
367,8013013401,"Census Tract 134.01, Boulder County, Colorado",Boulder,2658,16,1.1,95% C.I.: 1 - 1.5,Lowest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
368,8013013503,"Census Tract 135.03, Boulder County, Colorado",Boulder,4091,16,1.4,95% C.I.: 1.3 - 1.8,Second Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
369,8013013006,"Census Tract 130.06, Boulder County, Colorado",Boulder,4446,16,1.7,95% C.I.: 1.6 - 2,Middle Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
370,8013012203,"Census Tract 122.03, Boulder County, Colorado",Boulder,6286,16,1.6,95% C.I.: 1.5 - 1.9,Second Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
371,8013013402,"Census Tract 134.02, Boulder County, Colorado",Boulder,5844,16,1.8,95% C.I.: 1.7 - 2,Middle Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
372,8013013210,"Census Tract 132.10, Boulder County, Colorado",Boulder,3845,16,1.7,95% C.I.: 1.6 - 2.1,Middle Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
373,8013013302,"Census Tract 133.02, Boulder County, Colorado",Boulder,3943,16,2.6,95% C.I.: 2.5 - 2.9,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
374,8013013307,"Census Tract 133.07, Boulder County, Colorado",Boulder,3060,16,2.6,95% C.I.: 2.4 - 3,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
375,8013013308,"Census Tract 133.08, Boulder County, Colorado",Boulder,2851,16,2.7,95% C.I.: 2.6 - 3,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
376,8013012510,"Census Tract 125.10, Boulder County, Colorado",Boulder,3638,16,2.9,95% C.I.: 2.8 - 3.1,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
377,8013012907,"Census Tract 129.07, Boulder County, Colorado",Boulder,2608,16,1.7,95% C.I.: 1.6 - 2.1,Middle Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
378,8013013305,"Census Tract 133.05, Boulder County, Colorado",Boulder,4093,16,1.4,95% C.I.: 1.3 - 1.7,Second Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
379,8013060900,"Census Tract 609, Boulder County, Colorado",Boulder,3707,16,1.6,95% C.I.: 1.5 - 1.9,Second Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
380,8013012509,"Census Tract 125.09, Boulder County, Colorado",Boulder,2559,16,2.4,95% C.I.: 2.2 - 2.7,Fourth Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
381,8013013208,"Census Tract 132.08, Boulder County, Colorado",Boulder,4640,16,2.7,95% C.I.: 2.5 - 2.9,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
382,8013012701,"Census Tract 127.01, Boulder County, Colorado",Boulder,4824,16,2.1,95% C.I.: 2 - 2.3,Fourth Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
383,8013012507,"Census Tract 125.07, Boulder County, Colorado",Boulder,4023,16,1.1,95% C.I.: 1 - 1.3,Lowest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
384,8013012505,"Census Tract 125.05, Boulder County, Colorado",Boulder,3136,16,2.6,95% C.I.: 2.5 - 2.8,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
385,8013013201,"Census Tract 132.01, Boulder County, Colorado",Boulder,1307,16,3.5,95% C.I.: 3.3 - 3.8,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
386,8013013211,"Census Tract 132.11, Boulder County, Colorado",Boulder,4156,16,2,95% C.I.: 1.9 - 2.2,Middle Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
387,8013013207,"Census Tract 132.07, Boulder County, Colorado",Boulder,3612,16,2.4,95% C.I.: 2.3 - 2.6,Fourth Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
388,8013012101,"Census Tract 121.01, Boulder County, Colorado",Boulder,3689,16,2.2,95% C.I.: 2.1 - 2.4,Fourth Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
389,8013013205,"Census Tract 132.05, Boulder County, Colorado",Boulder,4307,16,2.4,95% C.I.: 2.2 - 2.7,Fourth Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
390,8013013306,"Census Tract 133.06, Boulder County, Colorado",Boulder,3643,16,2.2,95% C.I.: 2.1 - 2.5,Fourth Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
391,8013012201,"Census Tract 122.01, Boulder County, Colorado",Boulder,3663,16,2,95% C.I.: 1.9 - 2.2,Middle Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
392,8013012705,"Census Tract 127.05, Boulder County, Colorado",Boulder,3538,16,1.3,95% C.I.: 1.2 - 1.5,Second Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
393,8013012708,"Census Tract 127.08, Boulder County, Colorado",Boulder,4157,16,2.8,95% C.I.: 2.6 - 3,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
394,8013013601,"Census Tract 136.01, Boulder County, Colorado",Boulder,3141,16,2.3,95% C.I.: 2.1 - 2.4,Fourth Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
395,8013012710,"Census Tract 127.10, Boulder County, Colorado",Boulder,2778,16,3.1,95% C.I.: 2.9 - 3.3,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
396,8013013701,"Census Tract 137.01, Boulder County, Colorado",Boulder,5106,16,3.2,95% C.I.: 3 - 3.6,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
397,8013013702,"Census Tract 137.02, Boulder County, Colorado",Boulder,4970,16,2.2,95% C.I.: 2 - 2.3,Fourth Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
398,8013013202,"Census Tract 132.02, Boulder County, Colorado",Boulder,1257,16,3.7,95% C.I.: 3.5 - 4,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
399,8013012204,"Census Tract 122.04, Boulder County, Colorado",Boulder,3951,16,1.1,95% C.I.: 1 - 1.3,Lowest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
400,8013013602,"Census Tract 136.02, Boulder County, Colorado",Boulder,777,16,4,95% C.I.: 3.8 - 4.2,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
401,8013012903,"Census Tract 129.03, Boulder County, Colorado",Boulder,1904,16,2.8,95% C.I.: 2.6 - 3,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
402,8013012501,"Census Tract 125.01, Boulder County, Colorado",Boulder,2306,16,2,95% C.I.: 1.9 - 2.2,Middle Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
403,8013012603,"Census Tract 126.03, Boulder County, Colorado",Boulder,2875,16,2.3,95% C.I.: 2.2 - 2.5,Fourth Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
404,8013012511,"Census Tract 125.11, Boulder County, Colorado",Boulder,5712,16,1.8,95% C.I.: 1.7 - 2,Middle Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
405,8013012709,"Census Tract 127.09, Boulder County, Colorado",Boulder,1482,16,3.1,95% C.I.: 2.9 - 3.2,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
406,8075966300,"Census Tract 9663, Logan County, Colorado",Logan,3656,1,1.8,95% C.I.: 1.4 - 4.3,Second Quintile,County/Regional Estimate 1.3% (95% C.I.: 0.6 - 2.1),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
407,8075966200,"Census Tract 9662, Logan County, Colorado",Logan,3442,1,0.8,95% C.I.: 0.6 - 4.3,Lowest Quintile,County/Regional Estimate 1.3% (95% C.I.: 0.6 - 2.1),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
408,8075966100,"Census Tract 9661, Logan County, Colorado",Logan,5667,1,1.6,95% C.I.: 1.2 - 3.8,Second Quintile,County/Regional Estimate 1.3% (95% C.I.: 0.6 - 2.1),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
409,8075966000,"Census Tract 9660, Logan County, Colorado",Logan,1659,1,1.3,95% C.I.: 0.9 - 3.3,Lowest Quintile,County/Regional Estimate 1.3% (95% C.I.: 0.6 - 2.1),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
410,8075966400,"Census Tract 9664, Logan County, Colorado",Logan,1690,1,1.3,95% C.I.: 0.9 - 4.1,Lowest Quintile,County/Regional Estimate 1.3% (95% C.I.: 0.6 - 2.1),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
411,8075965900,"Census Tract 9659, Logan County, Colorado",Logan,1094,1,1.5,95% C.I.: 1.1 - 3,Lowest Quintile,County/Regional Estimate 1.3% (95% C.I.: 0.6 - 2.1),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
412,8013060800,"Census Tract 608, Boulder County, Colorado",Boulder,5673,16,1.5,95% C.I.: 1.4 - 1.7,Second Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
413,8013013507,"Census Tract 135.07, Boulder County, Colorado",Boulder,2609,16,1.8,95% C.I.: 1.7 - 2.1,Middle Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
414,8013013505,"Census Tract 135.05, Boulder County, Colorado",Boulder,3129,16,1.9,95% C.I.: 1.8 - 2.4,Middle Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
415,8013013212,"Census Tract 132.12, Boulder County, Colorado",Boulder,3622,16,1.8,95% C.I.: 1.7 - 2,Middle Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
416,8013061300,"Census Tract 613, Boulder County, Colorado",Boulder,2412,16,1.3,95% C.I.: 1.2 - 1.4,Second Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
417,8013061400,"Census Tract 614, Boulder County, Colorado",Boulder,2556,16,1.1,95% C.I.: 1 - 1.3,Lowest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
418,8013012607,"Census Tract 126.07, Boulder County, Colorado",Boulder,5238,16,0.7,95% C.I.: 0.7 - 1,Lowest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
419,8013013508,"Census Tract 135.08, Boulder County, Colorado",Boulder,5552,16,1.8,95% C.I.: 1.7 - 2.1,Middle Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
420,8013013506,"Census Tract 135.06, Boulder County, Colorado",Boulder,3357,16,2.5,95% C.I.: 2.3 - 2.8,Fourth Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
421,8013013213,"Census Tract 132.13, Boulder County, Colorado",Boulder,5929,16,1.4,95% C.I.: 1.3 - 1.6,Second Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
422,8013012608,"Census Tract 126.08, Boulder County, Colorado",Boulder,2203,16,1.6,95% C.I.: 1.5 - 1.8,Second Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
423,8013060600,"Census Tract 606, Boulder County, Colorado",Boulder,4738,16,1.2,95% C.I.: 1.1 - 1.5,Second Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
424,8013060700,"Census Tract 607, Boulder County, Colorado",Boulder,2479,16,2.2,95% C.I.: 2.1 - 2.4,Fourth Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
425,8013013005,"Census Tract 130.05, Boulder County, Colorado",Boulder,2606,16,2,95% C.I.: 1.8 - 2.1,Middle Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
426,8013012508,"Census Tract 125.08, Boulder County, Colorado",Boulder,2856,16,1.2,95% C.I.: 1.1 - 1.4,Lowest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
427,8013012605,"Census Tract 126.05, Boulder County, Colorado",Boulder,1595,16,0.6,95% C.I.: 0.5 - 0.7,Lowest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
428,8013013004,"Census Tract 130.04, Boulder County, Colorado",Boulder,2608,16,1.5,95% C.I.: 1.4 - 1.9,Second Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
429,8013012401,"Census Tract 124.01, Boulder County, Colorado",Boulder,5926,16,0.5,95% C.I.: 0.5 - 0.8,Lowest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
430,8013012300,"Census Tract 123, Boulder County, Colorado",Boulder,6788,16,0.3,95% C.I.: 0.2 - 0.5,Lowest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
431,8013012202,"Census Tract 122.02, Boulder County, Colorado",Boulder,5784,16,0.7,95% C.I.: 0.7 - 1,Lowest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
432,8013012102,"Census Tract 121.02, Boulder County, Colorado",Boulder,6008,16,1.7,95% C.I.: 1.5 - 1.8,Second Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
433,8013012105,"Census Tract 121.05, Boulder County, Colorado",Boulder,4286,16,2,95% C.I.: 1.9 - 2.3,Fourth Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
434,8013012104,"Census Tract 121.04, Boulder County, Colorado",Boulder,1853,16,3.3,95% C.I.: 3.2 - 3.6,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
435,8013012904,"Census Tract 129.04, Boulder County, Colorado",Boulder,4561,16,2.8,95% C.I.: 2.7 - 3,Highest Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
436,8013012707,"Census Tract 127.07, Boulder County, Colorado",Boulder,2015,16,1.9,95% C.I.: 1.8 - 2.2,Middle Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
437,8013012905,"Census Tract 129.05, Boulder County, Colorado",Boulder,2166,16,2.5,95% C.I.: 2.4 - 2.9,Fourth Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
438,8013012103,"Census Tract 121.03, Boulder County, Colorado",Boulder,3210,16,2.2,95% C.I.: 2.1 - 2.5,Fourth Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
439,8013012800,"Census Tract 128, Boulder County, Colorado",Boulder,8601,16,1.9,95% C.I.: 1.8 - 2.1,Middle Quintile,County/Regional Estimate 2.2% (95% C.I.: 1.6 - 2.8),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
440,8123001412,"Census Tract 14.12, Weld County, Colorado",Weld,2012,18,4.1,95% C.I.: 3.8 - 4.8,Highest Quintile,County/Regional Estimate 3.3% (95% C.I.: 2.4 - 4.1),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
441,8123001407,"Census Tract 14.07, Weld County, Colorado",Weld,1905,18,2.6,95% C.I.: 2.4 - 2.8,Lowest Quintile,County/Regional Estimate 3.3% (95% C.I.: 2.4 - 4.1),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
442,8123001408,"Census Tract 14.08, Weld County, Colorado",Weld,1625,18,4.9,95% C.I.: 4.6 - 5.4,Highest Quintile,County/Regional Estimate 3.3% (95% C.I.: 2.4 - 4.1),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
443,8123001405,"Census Tract 14.05, Weld County, Colorado",Weld,3092,18,2.1,95% C.I.: 2 - 2.4,Lowest Quintile,County/Regional Estimate 3.3% (95% C.I.: 2.4 - 4.1),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
