OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,HealthStatus_Census_Tract_Estimate,HealthStatus_Estimate_Confidence_Interval,HealthStatus_Map_Symbol_withinHSR,HealthStatus_County_Regional_Estimate,HealthStatus_Map_Symbol_State,HealthStatus_State_Estimate
310,8001009411,"Census Tract 94.11, Adams County, Colorado",Adams,2422,14,14.3,95% C.I.: 13.8 - 14.7,Lowest Quintile,County/Regional Estimate 16.7% (95% C.I.: 15 - 18.5),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
311,8001009307,"Census Tract 93.07, Adams County, Colorado",Adams,2775,14,17.1,95% C.I.: 16.5 - 17.7,Fourth Quintile,County/Regional Estimate 16.7% (95% C.I.: 15 - 18.5),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
312,8069000600,"Census Tract 6, Larimer County, Colorado",Larimer,6433,2,8.3,95% C.I.: 7.9 - 8.8,Lowest Quintile,County/Regional Estimate 11% (95% C.I.: 9.6 - 12.4),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
313,8069001009,"Census Tract 10.09, Larimer County, Colorado",Larimer,4613,2,10.5,95% C.I.: 10.1 - 11,Middle Quintile,County/Regional Estimate 11% (95% C.I.: 9.6 - 12.4),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
314,8069000100,"Census Tract 1, Larimer County, Colorado",Larimer,2442,2,9.5,95% C.I.: 9.1 - 9.9,Lowest Quintile,County/Regional Estimate 11% (95% C.I.: 9.6 - 12.4),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
315,8069002300,"Census Tract 23, Larimer County, Colorado",Larimer,2688,2,10.1,95% C.I.: 9.7 - 10.5,Second Quintile,County/Regional Estimate 11% (95% C.I.: 9.6 - 12.4),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
316,8069001602,"Census Tract 16.02, Larimer County, Colorado",Larimer,3864,2,10,95% C.I.: 9.6 - 10.6,Second Quintile,County/Regional Estimate 11% (95% C.I.: 9.6 - 12.4),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
317,8069001306,"Census Tract 13.06, Larimer County, Colorado",Larimer,1920,2,10.3,95% C.I.: 9.8 - 11.2,Middle Quintile,County/Regional Estimate 11% (95% C.I.: 9.6 - 12.4),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
318,8069001305,"Census Tract 13.05, Larimer County, Colorado",Larimer,1929,2,9.9,95% C.I.: 9.4 - 10.4,Second Quintile,County/Regional Estimate 11% (95% C.I.: 9.6 - 12.4),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
319,8059010209,"Census Tract 102.09, Jefferson County, Colorado",Jefferson,4893,21,10.8,95% C.I.: 10.4 - 11.2,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
320,8059010305,"Census Tract 103.05, Jefferson County, Colorado",Jefferson,3053,21,9.8,95% C.I.: 9.4 - 10.1,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
321,8059009832,"Census Tract 98.32, Jefferson County, Colorado",Jefferson,2276,21,10,95% C.I.: 9.7 - 10.4,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
322,8059009833,"Census Tract 98.33, Jefferson County, Colorado",Jefferson,4615,21,10.3,95% C.I.: 10 - 10.8,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
323,8059009834,"Census Tract 98.34, Jefferson County, Colorado",Jefferson,3658,21,10.5,95% C.I.: 10.2 - 10.9,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
324,8059009831,"Census Tract 98.31, Jefferson County, Colorado",Jefferson,2249,21,10.9,95% C.I.: 10.4 - 11.5,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
325,8059010210,"Census Tract 102.10, Jefferson County, Colorado",Jefferson,3027,21,10.6,95% C.I.: 10.3 - 10.9,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
326,8059010206,"Census Tract 102.06, Jefferson County, Colorado",Jefferson,3251,21,9.8,95% C.I.: 9.6 - 10.1,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
327,8059009835,"Census Tract 98.35, Jefferson County, Colorado",Jefferson,3106,21,10.9,95% C.I.: 10.6 - 11.2,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
328,8059009828,"Census Tract 98.28, Jefferson County, Colorado",Jefferson,4354,21,11.2,95% C.I.: 10.8 - 11.5,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
329,8059010205,"Census Tract 102.05, Jefferson County, Colorado",Jefferson,1951,21,11.4,95% C.I.: 11.1 - 11.7,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
330,8059010303,"Census Tract 103.03, Jefferson County, Colorado",Jefferson,4335,21,10.6,95% C.I.: 10.3 - 11,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
331,8087000600,"Census Tract 6, Morgan County, Colorado",Morgan,4253,1,13.3,95% C.I.: 11.9 - 16,Lowest Quintile,County/Regional Estimate 14.9% (95% C.I.: 11.2 - 18.6),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
332,8087000200,"Census Tract 2, Morgan County, Colorado",Morgan,2217,1,14.5,95% C.I.: 13.1 - 16.1,Middle Quintile,County/Regional Estimate 14.9% (95% C.I.: 11.2 - 18.6),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
333,8087000100,"Census Tract 1, Morgan County, Colorado",Morgan,2135,1,13.5,95% C.I.: 12.2 - 15.4,Second Quintile,County/Regional Estimate 14.9% (95% C.I.: 11.2 - 18.6),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
334,8087000500,"Census Tract 5, Morgan County, Colorado",Morgan,1801,1,11.8,95% C.I.: 10.5 - 14,Lowest Quintile,County/Regional Estimate 14.9% (95% C.I.: 11.2 - 18.6),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
335,8087000800,"Census Tract 8, Morgan County, Colorado",Morgan,1425,1,13.6,95% C.I.: 12.3 - 15.2,Second Quintile,County/Regional Estimate 14.9% (95% C.I.: 11.2 - 18.6),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
336,8087000400,"Census Tract 4, Morgan County, Colorado",Morgan,3094,1,15.2,95% C.I.: 13.8 - 17,Fourth Quintile,County/Regional Estimate 14.9% (95% C.I.: 11.2 - 18.6),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
337,8087000300,"Census Tract 3, Morgan County, Colorado",Morgan,1686,1,13.8,95% C.I.: 12.4 - 15.9,Middle Quintile,County/Regional Estimate 14.9% (95% C.I.: 11.2 - 18.6),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
338,8087000700,"Census Tract 7, Morgan County, Colorado",Morgan,4086,1,14.6,95% C.I.: 13.2 - 16.8,Middle Quintile,County/Regional Estimate 14.9% (95% C.I.: 11.2 - 18.6),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
339,8059009830,"Census Tract 98.30, Jefferson County, Colorado",Jefferson,1856,21,10.1,95% C.I.: 9.8 - 10.5,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
340,8059009829,"Census Tract 98.29, Jefferson County, Colorado",Jefferson,1445,21,9.8,95% C.I.: 9.5 - 10.1,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
341,8059010212,"Census Tract 102.12, Jefferson County, Colorado",Jefferson,3435,21,9.5,95% C.I.: 9.2 - 9.9,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
342,8059009824,"Census Tract 98.24, Jefferson County, Colorado",Jefferson,3770,21,10.1,95% C.I.: 9.8 - 10.5,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
343,8059009823,"Census Tract 98.23, Jefferson County, Colorado",Jefferson,3697,21,9.9,95% C.I.: 9.7 - 10.2,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
344,8059010208,"Census Tract 102.08, Jefferson County, Colorado",Jefferson,4717,21,10.4,95% C.I.: 10.1 - 10.8,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
345,8059010213,"Census Tract 102.13, Jefferson County, Colorado",Jefferson,3945,21,10.2,95% C.I.: 9.9 - 10.6,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
346,8059010304,"Census Tract 103.04, Jefferson County, Colorado",Jefferson,2264,21,9.9,95% C.I.: 9.6 - 10.2,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
347,8059009839,"Census Tract 98.39, Jefferson County, Colorado",Jefferson,1809,21,10.1,95% C.I.: 9.8 - 10.4,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
348,8059060300,"Census Tract 603, Jefferson County, Colorado",Jefferson,3502,21,9.9,95% C.I.: 9.6 - 10.3,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
349,8059060500,"Census Tract 605, Jefferson County, Colorado",Jefferson,4012,21,10.3,95% C.I.: 10 - 10.6,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
350,8059060400,"Census Tract 604, Jefferson County, Colorado",Jefferson,2736,21,10.3,95% C.I.: 10 - 10.7,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
351,8059009851,"Census Tract 98.51, Jefferson County, Colorado",Jefferson,2885,21,11.4,95% C.I.: 11 - 11.7,Highest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
352,8059009837,"Census Tract 98.37, Jefferson County, Colorado",Jefferson,3003,21,10.5,95% C.I.: 10.2 - 10.7,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
353,8059009838,"Census Tract 98.38, Jefferson County, Colorado",Jefferson,4331,21,10.6,95% C.I.: 10.3 - 10.9,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
354,8059009827,"Census Tract 98.27, Jefferson County, Colorado",Jefferson,4806,21,10.2,95% C.I.: 9.9 - 10.6,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
355,8059009815,"Census Tract 98.15, Jefferson County, Colorado",Jefferson,4057,21,10.4,95% C.I.: 10.1 - 10.7,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
356,8059009808,"Census Tract 98.08, Jefferson County, Colorado",Jefferson,4757,21,9.7,95% C.I.: 9.4 - 9.9,Lowest Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
357,8059009840,"Census Tract 98.40, Jefferson County, Colorado",Jefferson,3174,21,10.3,95% C.I.: 10 - 10.6,Second Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
358,8059009836,"Census Tract 98.36, Jefferson County, Colorado",Jefferson,3227,21,10.7,95% C.I.: 10.4 - 11,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
359,8115968300,"Census Tract 9683, Sedgwick County, Colorado",Sedgwick,1840,1,19.2,95% C.I.: 15.6 - 24.8,Highest Quintile,County/Regional Estimate 21.8% (95% C.I.: 10.1 - 33.4),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
360,8059010211,"Census Tract 102.11, Jefferson County, Colorado",Jefferson,2751,21,10.9,95% C.I.: 10.6 - 11.3,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
361,8059010307,"Census Tract 103.07, Jefferson County, Colorado",Jefferson,4031,21,10.9,95% C.I.: 10.5 - 11.3,Fourth Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
362,8059010306,"Census Tract 103.06, Jefferson County, Colorado",Jefferson,2419,21,10.6,95% C.I.: 10.2 - 10.9,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
363,8059009841,"Census Tract 98.41, Jefferson County, Colorado",Jefferson,1947,21,10.4,95% C.I.: 10.1 - 10.7,Middle Quintile,County/Regional Estimate 10.7% (95% C.I.: 9.5 - 12),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
364,8095967600,"Census Tract 9676, Phillips County, Colorado",Phillips,2264,1,12.5,95% C.I.: 10.2 - 17.4,Lowest Quintile,County/Regional Estimate 16.6% (95% C.I.: 8.2 - 25.1),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
365,8095967700,"Census Tract 9677, Phillips County, Colorado",Phillips,985,1,15.1,95% C.I.: 12.3 - 18.1,Middle Quintile,County/Regional Estimate 16.6% (95% C.I.: 8.2 - 25.1),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
366,8013013003,"Census Tract 130.03, Boulder County, Colorado",Boulder,4703,16,8.7,95% C.I.: 8.3 - 9,Lowest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
367,8013013401,"Census Tract 134.01, Boulder County, Colorado",Boulder,2658,16,12.6,95% C.I.: 11.8 - 13.4,Highest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
368,8013013503,"Census Tract 135.03, Boulder County, Colorado",Boulder,4091,16,12,95% C.I.: 11.3 - 12.8,Highest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
369,8013013006,"Census Tract 130.06, Boulder County, Colorado",Boulder,4446,16,8.9,95% C.I.: 8.5 - 9.3,Second Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
370,8013012203,"Census Tract 122.03, Boulder County, Colorado",Boulder,6286,16,10.1,95% C.I.: 9.6 - 10.6,Fourth Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
371,8013013402,"Census Tract 134.02, Boulder County, Colorado",Boulder,5844,16,11.7,95% C.I.: 11.1 - 12.4,Highest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
372,8013013210,"Census Tract 132.10, Boulder County, Colorado",Boulder,3845,16,12.2,95% C.I.: 11.5 - 12.9,Highest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
373,8013013302,"Census Tract 133.02, Boulder County, Colorado",Boulder,3943,16,11.9,95% C.I.: 11.3 - 12.4,Highest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
374,8013013307,"Census Tract 133.07, Boulder County, Colorado",Boulder,3060,16,12.1,95% C.I.: 11.4 - 12.7,Highest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
375,8013013308,"Census Tract 133.08, Boulder County, Colorado",Boulder,2851,16,11,95% C.I.: 10.4 - 11.5,Fourth Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
376,8013012510,"Census Tract 125.10, Boulder County, Colorado",Boulder,3638,16,9,95% C.I.: 8.6 - 9.3,Second Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
377,8013012907,"Census Tract 129.07, Boulder County, Colorado",Boulder,2608,16,9.5,95% C.I.: 9 - 10,Middle Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
378,8013013305,"Census Tract 133.05, Boulder County, Colorado",Boulder,4093,16,11.3,95% C.I.: 10.7 - 11.9,Highest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
379,8013060900,"Census Tract 609, Boulder County, Colorado",Boulder,3707,16,9.6,95% C.I.: 9.2 - 10.1,Middle Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
380,8013012509,"Census Tract 125.09, Boulder County, Colorado",Boulder,2559,16,9.9,95% C.I.: 9.5 - 10.4,Middle Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
381,8013013208,"Census Tract 132.08, Boulder County, Colorado",Boulder,4640,16,9.5,95% C.I.: 9.1 - 9.9,Middle Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
382,8013012701,"Census Tract 127.01, Boulder County, Colorado",Boulder,4824,16,8.4,95% C.I.: 8.1 - 8.7,Lowest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
383,8013012507,"Census Tract 125.07, Boulder County, Colorado",Boulder,4023,16,8.6,95% C.I.: 8.2 - 9.1,Lowest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
384,8013012505,"Census Tract 125.05, Boulder County, Colorado",Boulder,3136,16,8.9,95% C.I.: 8.5 - 9.3,Lowest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
385,8013013201,"Census Tract 132.01, Boulder County, Colorado",Boulder,1307,16,10,95% C.I.: 9.6 - 10.5,Middle Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
386,8013013211,"Census Tract 132.11, Boulder County, Colorado",Boulder,4156,16,10.1,95% C.I.: 9.6 - 10.6,Fourth Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
387,8013013207,"Census Tract 132.07, Boulder County, Colorado",Boulder,3612,16,9.1,95% C.I.: 8.7 - 9.5,Second Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
388,8013012101,"Census Tract 121.01, Boulder County, Colorado",Boulder,3689,16,8.6,95% C.I.: 8.2 - 9,Lowest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
389,8013013205,"Census Tract 132.05, Boulder County, Colorado",Boulder,4307,16,10,95% C.I.: 9.5 - 10.4,Middle Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
390,8013013306,"Census Tract 133.06, Boulder County, Colorado",Boulder,3643,16,11.3,95% C.I.: 10.7 - 11.8,Highest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
391,8013012201,"Census Tract 122.01, Boulder County, Colorado",Boulder,3663,16,8.3,95% C.I.: 7.9 - 8.6,Lowest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
392,8013012705,"Census Tract 127.05, Boulder County, Colorado",Boulder,3538,16,8.8,95% C.I.: 8.4 - 9.2,Lowest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
393,8013012708,"Census Tract 127.08, Boulder County, Colorado",Boulder,4157,16,9,95% C.I.: 8.7 - 9.4,Second Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
394,8013013601,"Census Tract 136.01, Boulder County, Colorado",Boulder,3141,16,8.6,95% C.I.: 8.2 - 8.9,Lowest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
395,8013012710,"Census Tract 127.10, Boulder County, Colorado",Boulder,2778,16,9.4,95% C.I.: 9.1 - 9.9,Middle Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
396,8013013701,"Census Tract 137.01, Boulder County, Colorado",Boulder,5106,16,9.4,95% C.I.: 8.9 - 9.7,Second Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
397,8013013702,"Census Tract 137.02, Boulder County, Colorado",Boulder,4970,16,8.5,95% C.I.: 8.2 - 8.8,Lowest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
398,8013013202,"Census Tract 132.02, Boulder County, Colorado",Boulder,1257,16,9.2,95% C.I.: 8.8 - 9.5,Second Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
399,8013012204,"Census Tract 122.04, Boulder County, Colorado",Boulder,3951,16,9,95% C.I.: 8.6 - 9.4,Second Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
400,8013013602,"Census Tract 136.02, Boulder County, Colorado",Boulder,777,16,9.4,95% C.I.: 9 - 9.8,Second Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
401,8013012903,"Census Tract 129.03, Boulder County, Colorado",Boulder,1904,16,9.4,95% C.I.: 9 - 9.8,Middle Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
402,8013012501,"Census Tract 125.01, Boulder County, Colorado",Boulder,2306,16,9.4,95% C.I.: 8.9 - 9.9,Second Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
403,8013012603,"Census Tract 126.03, Boulder County, Colorado",Boulder,2875,16,8.8,95% C.I.: 8.5 - 9.2,Lowest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
404,8013012511,"Census Tract 125.11, Boulder County, Colorado",Boulder,5712,16,9.7,95% C.I.: 9.2 - 10.2,Middle Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
405,8013012709,"Census Tract 127.09, Boulder County, Colorado",Boulder,1482,16,8.7,95% C.I.: 8.4 - 9.1,Lowest Quintile,County/Regional Estimate 10.6% (95% C.I.: 9 - 12.2),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
406,8075966300,"Census Tract 9663, Logan County, Colorado",Logan,3656,1,15.4,95% C.I.: 13.8 - 17.6,Fourth Quintile,County/Regional Estimate 14.4% (95% C.I.: 10.3 - 18.5),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
407,8075966200,"Census Tract 9662, Logan County, Colorado",Logan,3442,1,12,95% C.I.: 10.7 - 14.3,Lowest Quintile,County/Regional Estimate 14.4% (95% C.I.: 10.3 - 18.5),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
408,8075966100,"Census Tract 9661, Logan County, Colorado",Logan,5667,1,16.5,95% C.I.: 14.7 - 18.8,Fourth Quintile,County/Regional Estimate 14.4% (95% C.I.: 10.3 - 18.5),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
