OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,HealthStatus_Census_Tract_Estimate,HealthStatus_Estimate_Confidence_Interval,HealthStatus_Map_Symbol_withinHSR,HealthStatus_County_Regional_Estimate,HealthStatus_Map_Symbol_State,HealthStatus_State_Estimate
23,8107000600,"Census Tract 6, Routt County, Colorado",Routt,2509,11,9.3,95% C.I.: 8.1 - 10.9,Second Quintile,County/Regional Estimate 10.9% (95% C.I.: 6.3 - 15.5),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
24,8107000300,"Census Tract 3, Routt County, Colorado",Routt,1805,11,8.6,95% C.I.: 7.6 - 10.1,Lowest Quintile,County/Regional Estimate 10.9% (95% C.I.: 6.3 - 15.5),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
25,8107000100,"Census Tract 1, Routt County, Colorado",Routt,1532,11,8.2,95% C.I.: 7.2 - 9.3,Lowest Quintile,County/Regional Estimate 10.9% (95% C.I.: 6.3 - 15.5),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
26,8051963900,"Census Tract 9639, Gunnison County, Colorado",Gunnison,776,10,5.8,95% C.I.: 4.7 - 7.7,Lowest Quintile,County/Regional Estimate 5.3% (95% C.I.: 2.3 - 8.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
27,8051963700,"Census Tract 9637, Gunnison County, Colorado",Gunnison,5729,10,3,95% C.I.: 2.4 - 4.4,Lowest Quintile,County/Regional Estimate 5.3% (95% C.I.: 2.3 - 8.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
28,8051963600,"Census Tract 9636, Gunnison County, Colorado",Gunnison,3065,10,6.2,95% C.I.: 5.3 - 7.7,Second Quintile,County/Regional Estimate 5.3% (95% C.I.: 2.3 - 8.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
29,8051963800,"Census Tract 9638, Gunnison County, Colorado",Gunnison,3774,10,4.9,95% C.I.: 4.1 - 6.1,Lowest Quintile,County/Regional Estimate 5.3% (95% C.I.: 2.3 - 8.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
30,8021974900,"Census Tract 9749, Conejos County, Colorado",Conejos,3029,8,22.2,95% C.I.: 19.1 - 26.6,Highest Quintile,County/Regional Estimate 24.4% (95% C.I.: 16.1 - 32.8),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
31,8021974800,"Census Tract 9748, Conejos County, Colorado",Conejos,2876,8,23.4,95% C.I.: 20.1 - 28.1,Highest Quintile,County/Regional Estimate 24.4% (95% C.I.: 16.1 - 32.8),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
32,8037000703,"Census Tract 7.03, Eagle County, Colorado",Eagle,2394,12,6.9,95% C.I.: 6.2 - 8,Middle Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
33,8037000301,"Census Tract 3.01, Eagle County, Colorado",Eagle,4847,12,11.8,95% C.I.: 10.7 - 13.3,Middle Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
34,8037000702,"Census Tract 7.02, Eagle County, Colorado",Eagle,1428,12,4.9,95% C.I.: 4.3 - 6.1,Second Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
35,8037000402,"Census Tract 4.02, Eagle County, Colorado",Eagle,3591,12,14.7,95% C.I.: 13.5 - 16.6,Fourth Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
36,8037000501,"Census Tract 5.01, Eagle County, Colorado",Eagle,590,12,6,95% C.I.: 5.1 - 7.1,Second Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
37,8037000502,"Census Tract 5.02, Eagle County, Colorado",Eagle,3371,12,6.5,95% C.I.: 5.9 - 7.8,Second Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
38,8037000302,"Census Tract 3.02, Eagle County, Colorado",Eagle,1834,12,11.1,95% C.I.: 10.1 - 12.5,Middle Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
39,8037000403,"Census Tract 4.03, Eagle County, Colorado",Eagle,5966,12,7,95% C.I.: 6.3 - 7.8,Middle Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
40,8037000701,"Census Tract 7.01, Eagle County, Colorado",Eagle,1326,12,3.3,95% C.I.: 2.9 - 3.9,Lowest Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
41,8037000401,"Census Tract 4.01, Eagle County, Colorado",Eagle,3403,12,11,95% C.I.: 10.1 - 12.2,Middle Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
42,8037000503,"Census Tract 5.03, Eagle County, Colorado",Eagle,4804,12,17.3,95% C.I.: 16.1 - 19,Highest Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
43,8037000100,"Census Tract 1, Eagle County, Colorado",Eagle,1204,12,15.8,95% C.I.: 14.6 - 17.4,Highest Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
44,8037000600,"Census Tract 6, Eagle County, Colorado",Eagle,1354,12,14.3,95% C.I.: 13.2 - 15.8,Fourth Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
45,8037000200,"Census Tract 2, Eagle County, Colorado",Eagle,5529,12,13.6,95% C.I.: 12.6 - 14.9,Middle Quintile,County/Regional Estimate 14.9% (95% C.I.: 10.1 - 19.6),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
46,8045951901,"Census Tract 9519.01, Garfield County, Colorado",Garfield,3467,12,15.3,95% C.I.: 14.2 - 16.5,Highest Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.4),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
47,8045951701,"Census Tract 9517.01, Garfield County, Colorado",Garfield,3103,12,16.8,95% C.I.: 15.6 - 18.1,Highest Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.4),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
48,8045951902,"Census Tract 9519.02, Garfield County, Colorado",Garfield,5234,12,17.5,95% C.I.: 16.3 - 18.7,Highest Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.4),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
49,8045951702,"Census Tract 9517.02, Garfield County, Colorado",Garfield,2948,12,15,95% C.I.: 13.9 - 16.1,Fourth Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.4),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
50,8045952001,"Census Tract 9520.01, Garfield County, Colorado",Garfield,3716,12,17.9,95% C.I.: 16.6 - 19.3,Highest Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.4),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
51,8045952002,"Census Tract 9520.02, Garfield County, Colorado",Garfield,5960,12,14.2,95% C.I.: 13.1 - 15.4,Fourth Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.4),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
52,8045951803,"Census Tract 9518.03, Garfield County, Colorado",Garfield,4590,12,14.7,95% C.I.: 13.6 - 15.9,Fourth Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.4),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
53,8045951804,"Census Tract 9518.04, Garfield County, Colorado",Garfield,3152,12,14.3,95% C.I.: 13.2 - 15.5,Fourth Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.4),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
54,8045951802,"Census Tract 9518.02, Garfield County, Colorado",Garfield,2946,12,16.4,95% C.I.: 15.3 - 17.6,Highest Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.4),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
55,8045952100,"Census Tract 9521, Garfield County, Colorado",Garfield,5069,12,16,95% C.I.: 14.7 - 17.4,Highest Quintile,County/Regional Estimate 15.6% (95% C.I.: 11.8 - 19.4),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
56,8067970704,"Census Tract 9707.04, La Plata County, Colorado",La Plata,3333,9,11,95% C.I.: 10.1 - 12,Middle Quintile,County/Regional Estimate 10.2% (95% C.I.: 7.4 - 13.1),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
57,8067970703,"Census Tract 9707.03, La Plata County, Colorado",La Plata,4471,9,10.5,95% C.I.: 9.6 - 11.5,Second Quintile,County/Regional Estimate 10.2% (95% C.I.: 7.4 - 13.1),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
58,8067970701,"Census Tract 9707.01, La Plata County, Colorado",La Plata,3965,9,11.7,95% C.I.: 10.8 - 12.8,Middle Quintile,County/Regional Estimate 10.2% (95% C.I.: 7.4 - 13.1),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
59,8067940300,"Census Tract 9403, La Plata County, Colorado",La Plata,4760,9,13.8,95% C.I.: 12.5 - 15.4,Fourth Quintile,County/Regional Estimate 10.2% (95% C.I.: 7.4 - 13.1),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
60,8097000500,"Census Tract 5, Pitkin County, Colorado",Pitkin,1867,12,4.6,95% C.I.: 3.6 - 6.2,Lowest Quintile,County/Regional Estimate 4.6% (95% C.I.: 0.9 - 8.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
61,8097000401,"Census Tract 4.01, Pitkin County, Colorado",Pitkin,4147,12,3.8,95% C.I.: 3 - 5.1,Lowest Quintile,County/Regional Estimate 4.6% (95% C.I.: 0.9 - 8.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
62,8097000402,"Census Tract 4.02, Pitkin County, Colorado",Pitkin,2527,12,4.8,95% C.I.: 3.6 - 6.8,Second Quintile,County/Regional Estimate 4.6% (95% C.I.: 0.9 - 8.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
63,8097000100,"Census Tract 1, Pitkin County, Colorado",Pitkin,6326,12,3.9,95% C.I.: 3 - 5.3,Lowest Quintile,County/Regional Estimate 4.6% (95% C.I.: 0.9 - 8.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
64,8117000402,"Census Tract 4.02, Summit County, Colorado",Summit,5673,12,2.7,95% C.I.: 2.2 - 3.4,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 2.5 - 10.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
65,8117000401,"Census Tract 4.01, Summit County, Colorado",Summit,3393,12,3.4,95% C.I.: 2.8 - 4.2,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 2.5 - 10.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
66,8117000100,"Census Tract 1, Summit County, Colorado",Summit,6816,12,3.6,95% C.I.: 3 - 4.9,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 2.5 - 10.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
67,8117000200,"Census Tract 2, Summit County, Colorado",Summit,5528,12,6,95% C.I.: 5.1 - 7.4,Second Quintile,County/Regional Estimate 6.4% (95% C.I.: 2.5 - 10.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
68,8117000300,"Census Tract 3, Summit County, Colorado",Summit,3511,12,4.3,95% C.I.: 3.6 - 5.3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 2.5 - 10.3),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
69,8067971100,"Census Tract 9711, La Plata County, Colorado",La Plata,3784,9,9.6,95% C.I.: 8.5 - 11,Lowest Quintile,County/Regional Estimate 10.2% (95% C.I.: 7.4 - 13.1),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
70,8067971000,"Census Tract 9710, La Plata County, Colorado",La Plata,2322,9,10.4,95% C.I.: 9.5 - 11.4,Second Quintile,County/Regional Estimate 10.2% (95% C.I.: 7.4 - 13.1),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
71,8067970900,"Census Tract 9709, La Plata County, Colorado",La Plata,3409,9,10.8,95% C.I.: 9.8 - 12,Middle Quintile,County/Regional Estimate 10.2% (95% C.I.: 7.4 - 13.1),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
72,8067970800,"Census Tract 9708, La Plata County, Colorado",La Plata,6155,9,9.6,95% C.I.: 8.7 - 10.7,Lowest Quintile,County/Regional Estimate 10.2% (95% C.I.: 7.4 - 13.1),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
73,8067940400,"Census Tract 9404, La Plata County, Colorado",La Plata,4511,9,12,95% C.I.: 11 - 13.2,Middle Quintile,County/Regional Estimate 10.2% (95% C.I.: 7.4 - 13.1),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
74,8067970600,"Census Tract 9706, La Plata County, Colorado",La Plata,7255,9,10.9,95% C.I.: 10.1 - 11.9,Middle Quintile,County/Regional Estimate 10.2% (95% C.I.: 7.4 - 13.1),Second Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
75,8065961900,"Census Tract 9619, Lake County, Colorado",Lake,1659,13,13.9,95% C.I.: 11.9 - 17.4,Second Quintile,County/Regional Estimate 19% (95% C.I.: 8.1 - 29.8),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
76,8065961700,"Census Tract 9617, Lake County, Colorado",Lake,4485,13,8.6,95% C.I.: 6.5 - 12.4,Lowest Quintile,County/Regional Estimate 19% (95% C.I.: 8.1 - 29.8),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
77,8029965100,"Census Tract 9651, Delta County, Colorado",Delta,3447,10,17.5,95% C.I.: 16.1 - 19.3,Fourth Quintile,County/Regional Estimate 19% (95% C.I.: 14.4 - 23.7),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
78,8029965200,"Census Tract 9652, Delta County, Colorado",Delta,3296,10,17,95% C.I.: 15.7 - 18.5,Middle Quintile,County/Regional Estimate 19% (95% C.I.: 14.4 - 23.7),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
79,8029964600,"Census Tract 9646, Delta County, Colorado",Delta,2892,10,17.7,95% C.I.: 16.4 - 19.2,Fourth Quintile,County/Regional Estimate 19% (95% C.I.: 14.4 - 23.7),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
80,8029965000,"Census Tract 9650, Delta County, Colorado",Delta,3690,10,18,95% C.I.: 16.7 - 19.4,Fourth Quintile,County/Regional Estimate 19% (95% C.I.: 14.4 - 23.7),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
81,8029964900,"Census Tract 9649, Delta County, Colorado",Delta,4176,10,16.4,95% C.I.: 15 - 18,Middle Quintile,County/Regional Estimate 19% (95% C.I.: 14.4 - 23.7),Fourth Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
82,8029964800,"Census Tract 9648, Delta County, Colorado",Delta,3359,10,20.8,95% C.I.: 18.9 - 22.8,Highest Quintile,County/Regional Estimate 19% (95% C.I.: 14.4 - 23.7),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
83,8029964700,"Census Tract 9647, Delta County, Colorado",Delta,3201,10,17,95% C.I.: 15.7 - 18.5,Middle Quintile,County/Regional Estimate 19% (95% C.I.: 14.4 - 23.7),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
84,8003960300,"Census Tract 9603, Alamosa County, Colorado",Alamosa,3872,8,18.2,95% C.I.: 15.9 - 21.5,Middle Quintile,County/Regional Estimate 15.3% (95% C.I.: 9.6 - 21),Highest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
85,8003960200,"Census Tract 9602, Alamosa County, Colorado",Alamosa,5184,8,13.8,95% C.I.: 12.1 - 16.3,Lowest Quintile,County/Regional Estimate 15.3% (95% C.I.: 9.6 - 21),Middle Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
86,8113968102,"Census Tract 9681.02, San Miguel County, Colorado",San Miguel,1598,10,7.4,95% C.I.: 5.2 - 11,Second Quintile,County/Regional Estimate 12.3% (95% C.I.: 0.8 - 23.7),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
87,8113968101,"Census Tract 9681.01, San Miguel County, Colorado",San Miguel,1534,10,8.7,95% C.I.: 6.6 - 11.9,Second Quintile,County/Regional Estimate 12.3% (95% C.I.: 0.8 - 23.7),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
88,8113968103,"Census Tract 9681.03, San Miguel County, Colorado",San Miguel,1700,10,4.4,95% C.I.: 3.6 - 6.1,Lowest Quintile,County/Regional Estimate 12.3% (95% C.I.: 0.8 - 23.7),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
89,8113968200,"Census Tract 9682, San Miguel County, Colorado",San Miguel,1523,10,4.1,95% C.I.: 2.6 - 6.8,Lowest Quintile,County/Regional Estimate 12.3% (95% C.I.: 0.8 - 23.7),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
90,8079973600,"Census Tract 9736, Mineral County, Colorado",Mineral,752,8,6,95% C.I.: 4.2 - 13.2,Lowest Quintile,County/Regional Estimate 18.3% (95% C.I.: 14.7 - 21.8),Lowest Quintile,State Estimate 14.0% (95% C.I.: 13.6 - 14.4)
