OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,PhysHealth_Census_Tract_Estimate,PhysHealth_Estimate_Confidence_Interval,PhysHealth_Map_Symbol_withinHSR,PhysHealth_County_Regional_Estimate,PhysHealth_Map_Symbol_State,PhysHealth_State_Estimate
39,8037000403,"Census Tract 4.03, Eagle County, Colorado",Eagle,5966,12,5.3,95% C.I.: 4.8 - 6.2,Second Quintile,County/Regional Estimate 6.4% (95% C.I.: 3.6 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
40,8037000701,"Census Tract 7.01, Eagle County, Colorado",Eagle,1326,12,3.7,95% C.I.: 3.3 - 4.3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 3.6 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
41,8037000401,"Census Tract 4.01, Eagle County, Colorado",Eagle,3403,12,5.1,95% C.I.: 4.6 - 6.2,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 3.6 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
42,8037000503,"Census Tract 5.03, Eagle County, Colorado",Eagle,4804,12,6.4,95% C.I.: 5.8 - 7.9,Fourth Quintile,County/Regional Estimate 6.4% (95% C.I.: 3.6 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
43,8037000100,"Census Tract 1, Eagle County, Colorado",Eagle,1204,12,5.6,95% C.I.: 5 - 6.9,Middle Quintile,County/Regional Estimate 6.4% (95% C.I.: 3.6 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
44,8037000600,"Census Tract 6, Eagle County, Colorado",Eagle,1354,12,6.2,95% C.I.: 5.5 - 7.7,Middle Quintile,County/Regional Estimate 6.4% (95% C.I.: 3.6 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
45,8037000200,"Census Tract 2, Eagle County, Colorado",Eagle,5529,12,6.3,95% C.I.: 5.6 - 7.3,Middle Quintile,County/Regional Estimate 6.4% (95% C.I.: 3.6 - 9.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
46,8045951901,"Census Tract 9519.01, Garfield County, Colorado",Garfield,3467,12,7.8,95% C.I.: 7.1 - 8.7,Highest Quintile,County/Regional Estimate 7.7% (95% C.I.: 5.1 - 10.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
47,8045951701,"Census Tract 9517.01, Garfield County, Colorado",Garfield,3103,12,7.9,95% C.I.: 7.2 - 9,Highest Quintile,County/Regional Estimate 7.7% (95% C.I.: 5.1 - 10.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
48,8045951902,"Census Tract 9519.02, Garfield County, Colorado",Garfield,5234,12,7.9,95% C.I.: 7.2 - 8.8,Highest Quintile,County/Regional Estimate 7.7% (95% C.I.: 5.1 - 10.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
49,8045951702,"Census Tract 9517.02, Garfield County, Colorado",Garfield,2948,12,7.6,95% C.I.: 6.8 - 8.4,Highest Quintile,County/Regional Estimate 7.7% (95% C.I.: 5.1 - 10.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
50,8045952001,"Census Tract 9520.01, Garfield County, Colorado",Garfield,3716,12,8.1,95% C.I.: 7.3 - 9.3,Highest Quintile,County/Regional Estimate 7.7% (95% C.I.: 5.1 - 10.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
51,8045952002,"Census Tract 9520.02, Garfield County, Colorado",Garfield,5960,12,6.7,95% C.I.: 6.1 - 7.6,Fourth Quintile,County/Regional Estimate 7.7% (95% C.I.: 5.1 - 10.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
52,8045951803,"Census Tract 9518.03, Garfield County, Colorado",Garfield,4590,12,6.3,95% C.I.: 5.7 - 7.3,Fourth Quintile,County/Regional Estimate 7.7% (95% C.I.: 5.1 - 10.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
53,8045951804,"Census Tract 9518.04, Garfield County, Colorado",Garfield,3152,12,8,95% C.I.: 7.2 - 9,Highest Quintile,County/Regional Estimate 7.7% (95% C.I.: 5.1 - 10.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
54,8045951802,"Census Tract 9518.02, Garfield County, Colorado",Garfield,2946,12,7.9,95% C.I.: 7.2 - 8.9,Highest Quintile,County/Regional Estimate 7.7% (95% C.I.: 5.1 - 10.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
55,8045952100,"Census Tract 9521, Garfield County, Colorado",Garfield,5069,12,7.8,95% C.I.: 7.1 - 8.9,Highest Quintile,County/Regional Estimate 7.7% (95% C.I.: 5.1 - 10.3),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
56,8067970704,"Census Tract 9707.04, La Plata County, Colorado",La Plata,3333,9,9.6,95% C.I.: 8.8 - 10.6,Fourth Quintile,County/Regional Estimate 7.8% (95% C.I.: 5.4 - 10.1),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
57,8067970703,"Census Tract 9707.03, La Plata County, Colorado",La Plata,4471,9,8.5,95% C.I.: 7.7 - 9.4,Middle Quintile,County/Regional Estimate 7.8% (95% C.I.: 5.4 - 10.1),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
58,8067970701,"Census Tract 9707.01, La Plata County, Colorado",La Plata,3965,9,8.3,95% C.I.: 7.6 - 9.2,Second Quintile,County/Regional Estimate 7.8% (95% C.I.: 5.4 - 10.1),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
59,8067940300,"Census Tract 9403, La Plata County, Colorado",La Plata,4760,9,8.4,95% C.I.: 7.5 - 9.9,Second Quintile,County/Regional Estimate 7.8% (95% C.I.: 5.4 - 10.1),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
60,8097000500,"Census Tract 5, Pitkin County, Colorado",Pitkin,1867,12,3.6,95% C.I.: 2.6 - 5.5,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 1.1 - 15.8),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
61,8097000401,"Census Tract 4.01, Pitkin County, Colorado",Pitkin,4147,12,5.4,95% C.I.: 4.1 - 7.1,Second Quintile,County/Regional Estimate 8.5% (95% C.I.: 1.1 - 15.8),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
62,8097000402,"Census Tract 4.02, Pitkin County, Colorado",Pitkin,2527,12,6.8,95% C.I.: 5.1 - 9.4,Fourth Quintile,County/Regional Estimate 8.5% (95% C.I.: 1.1 - 15.8),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
63,8097000100,"Census Tract 1, Pitkin County, Colorado",Pitkin,6326,12,6.1,95% C.I.: 4.8 - 7.9,Middle Quintile,County/Regional Estimate 8.5% (95% C.I.: 1.1 - 15.8),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
64,8117000402,"Census Tract 4.02, Summit County, Colorado",Summit,5673,12,5.6,95% C.I.: 4.9 - 6.5,Middle Quintile,County/Regional Estimate 6.2% (95% C.I.: 2.9 - 9.4),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
65,8117000401,"Census Tract 4.01, Summit County, Colorado",Summit,3393,12,5.3,95% C.I.: 4.7 - 6.3,Second Quintile,County/Regional Estimate 6.2% (95% C.I.: 2.9 - 9.4),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
66,8117000100,"Census Tract 1, Summit County, Colorado",Summit,6816,12,5,95% C.I.: 4.2 - 6.4,Lowest Quintile,County/Regional Estimate 6.2% (95% C.I.: 2.9 - 9.4),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
67,8117000200,"Census Tract 2, Summit County, Colorado",Summit,5528,12,5.2,95% C.I.: 4.4 - 6.6,Second Quintile,County/Regional Estimate 6.2% (95% C.I.: 2.9 - 9.4),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
68,8117000300,"Census Tract 3, Summit County, Colorado",Summit,3511,12,6.2,95% C.I.: 5.4 - 7.3,Middle Quintile,County/Regional Estimate 6.2% (95% C.I.: 2.9 - 9.4),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
69,8067971100,"Census Tract 9711, La Plata County, Colorado",La Plata,3784,9,8.5,95% C.I.: 7.6 - 10.5,Middle Quintile,County/Regional Estimate 7.8% (95% C.I.: 5.4 - 10.1),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
70,8067971000,"Census Tract 9710, La Plata County, Colorado",La Plata,2322,9,7.8,95% C.I.: 7.1 - 8.8,Lowest Quintile,County/Regional Estimate 7.8% (95% C.I.: 5.4 - 10.1),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
71,8067970900,"Census Tract 9709, La Plata County, Colorado",La Plata,3409,9,8.3,95% C.I.: 7.5 - 9.6,Second Quintile,County/Regional Estimate 7.8% (95% C.I.: 5.4 - 10.1),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
72,8067970800,"Census Tract 9708, La Plata County, Colorado",La Plata,6155,9,8,95% C.I.: 7.2 - 9.1,Lowest Quintile,County/Regional Estimate 7.8% (95% C.I.: 5.4 - 10.1),Second Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
73,8067940400,"Census Tract 9404, La Plata County, Colorado",La Plata,4511,9,9.1,95% C.I.: 8.2 - 10.3,Fourth Quintile,County/Regional Estimate 7.8% (95% C.I.: 5.4 - 10.1),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
74,8067970600,"Census Tract 9706, La Plata County, Colorado",La Plata,7255,9,9,95% C.I.: 8.3 - 10,Middle Quintile,County/Regional Estimate 7.8% (95% C.I.: 5.4 - 10.1),Middle Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
75,8065961900,"Census Tract 9619, Lake County, Colorado",Lake,1659,13,12.5,95% C.I.: 10.7 - 16,Second Quintile,County/Regional Estimate 11.6% (95% C.I.: 4.7 - 18.6),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
76,8065961700,"Census Tract 9617, Lake County, Colorado",Lake,4485,13,10.1,95% C.I.: 8.3 - 14.6,Lowest Quintile,County/Regional Estimate 11.6% (95% C.I.: 4.7 - 18.6),Fourth Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
77,8029965100,"Census Tract 9651, Delta County, Colorado",Delta,3447,10,14.8,95% C.I.: 13.4 - 16.5,Highest Quintile,County/Regional Estimate 15.9% (95% C.I.: 11.5 - 20.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
78,8029965200,"Census Tract 9652, Delta County, Colorado",Delta,3296,10,14.6,95% C.I.: 13.4 - 16,Highest Quintile,County/Regional Estimate 15.9% (95% C.I.: 11.5 - 20.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
79,8029964600,"Census Tract 9646, Delta County, Colorado",Delta,2892,10,14.7,95% C.I.: 13.5 - 16.1,Highest Quintile,County/Regional Estimate 15.9% (95% C.I.: 11.5 - 20.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
80,8029965000,"Census Tract 9650, Delta County, Colorado",Delta,3690,10,15,95% C.I.: 13.9 - 16.4,Highest Quintile,County/Regional Estimate 15.9% (95% C.I.: 11.5 - 20.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
81,8029964900,"Census Tract 9649, Delta County, Colorado",Delta,4176,10,13.9,95% C.I.: 12.7 - 15.5,Fourth Quintile,County/Regional Estimate 15.9% (95% C.I.: 11.5 - 20.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
82,8029964800,"Census Tract 9648, Delta County, Colorado",Delta,3359,10,17.4,95% C.I.: 15.7 - 19.3,Highest Quintile,County/Regional Estimate 15.9% (95% C.I.: 11.5 - 20.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
83,8029964700,"Census Tract 9647, Delta County, Colorado",Delta,3201,10,14,95% C.I.: 12.8 - 15.4,Fourth Quintile,County/Regional Estimate 15.9% (95% C.I.: 11.5 - 20.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
84,8003960300,"Census Tract 9603, Alamosa County, Colorado",Alamosa,3872,8,11.7,95% C.I.: 9.9 - 14.7,Lowest Quintile,County/Regional Estimate 12.2% (95% C.I.: 6.5 - 18),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
85,8003960200,"Census Tract 9602, Alamosa County, Colorado",Alamosa,5184,8,11.7,95% C.I.: 10.1 - 14.1,Lowest Quintile,County/Regional Estimate 12.2% (95% C.I.: 6.5 - 18),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
86,8113968102,"Census Tract 9681.02, San Miguel County, Colorado",San Miguel,1598,10,5.2,95% C.I.: 3.5 - 8.9,Lowest Quintile,County/Regional Estimate 6.5% (95% C.I.: 0 - 14.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
87,8113968101,"Census Tract 9681.01, San Miguel County, Colorado",San Miguel,1534,10,5.4,95% C.I.: 3.8 - 8.8,Lowest Quintile,County/Regional Estimate 6.5% (95% C.I.: 0 - 14.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
88,8113968103,"Census Tract 9681.03, San Miguel County, Colorado",San Miguel,1700,10,4.2,95% C.I.: 3.2 - 6.3,Lowest Quintile,County/Regional Estimate 6.5% (95% C.I.: 0 - 14.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
89,8113968200,"Census Tract 9682, San Miguel County, Colorado",San Miguel,1523,10,4.4,95% C.I.: 3.1 - 7.3,Lowest Quintile,County/Regional Estimate 6.5% (95% C.I.: 0 - 14.3),Lowest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
90,8079973600,"Census Tract 9736, Mineral County, Colorado",Mineral,752,8,20.9,95% C.I.: 18.6 - 28.9,Highest Quintile,County/Regional Estimate 14.5% (95% C.I.: 11.3 - 17.7),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
91,8083941100,"Census Tract 9411, Montezuma County, Colorado",Montezuma,968,9,13.4,95% C.I.: 11.5 - 16.4,Fourth Quintile,County/Regional Estimate 14.7% (95% C.I.: 9.9 - 19.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
92,8083969400,"Census Tract 9694, Montezuma County, Colorado",Montezuma,2982,9,12.7,95% C.I.: 11.6 - 15.1,Fourth Quintile,County/Regional Estimate 14.7% (95% C.I.: 9.9 - 19.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
93,8083969100,"Census Tract 9691, Montezuma County, Colorado",Montezuma,2997,9,15.7,95% C.I.: 14.4 - 17.5,Highest Quintile,County/Regional Estimate 14.7% (95% C.I.: 9.9 - 19.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
94,8083969200,"Census Tract 9692, Montezuma County, Colorado",Montezuma,2306,9,16.4,95% C.I.: 15.1 - 18,Highest Quintile,County/Regional Estimate 14.7% (95% C.I.: 9.9 - 19.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
95,8083969000,"Census Tract 9690, Montezuma County, Colorado",Montezuma,2518,9,15.3,95% C.I.: 14.1 - 17.2,Highest Quintile,County/Regional Estimate 14.7% (95% C.I.: 9.9 - 19.4),Highest Quintile,State Estimate 9.4% (95% C.I.: 9.0 - 9.7)
