OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,Fluvax_Census_Tract_Estimate,Fluvax_Estimate_Confidence_Interval,Fluvax_Map_Symbol_withinHSR,Fluvax_County_Regional_Estimate,Fluvax_Map_Symbol_State,Fluvax_State_Estimate
277,8001008705,"Census Tract 87.05, Adams County, Colorado",Adams,3694,14,44.6,95% C.I.: 43.8 - 45.4,Lowest Quintile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
278,8001008533,"Census Tract 85.33, Adams County, Colorado",Adams,5834,14,39,95% C.I.: 38.3 - 39.7,Highest Qunitile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
279,8001009204,"Census Tract 92.04, Adams County, Colorado",Adams,5728,14,37.4,95% C.I.: 36.7 - 38.1,Highest Qunitile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
280,8001008507,"Census Tract 85.07, Adams County, Colorado",Adams,4960,14,41.5,95% C.I.: 40.8 - 42.1,Middle Quintile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
281,8069001707,"Census Tract 17.07, Larimer County, Colorado",Larimer,4432,2,42.6,95% C.I.: 41.8 - 43.4,Fourth Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
282,8069001806,"Census Tract 18.06, Larimer County, Colorado",Larimer,6402,2,46.5,95% C.I.: 45.7 - 47.3,Lowest Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
283,8069001704,"Census Tract 17.04, Larimer County, Colorado",Larimer,7252,2,43.1,95% C.I.: 42.3 - 43.8,Middle Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
284,8069001706,"Census Tract 17.06, Larimer County, Colorado",Larimer,5316,2,45.9,95% C.I.: 45.2 - 46.5,Second Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
285,8069001109,"Census Tract 11.09, Larimer County, Colorado",Larimer,3578,2,41.7,95% C.I.: 41 - 42.4,Fourth Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
286,8069001106,"Census Tract 11.06, Larimer County, Colorado",Larimer,4021,2,41.9,95% C.I.: 41.2 - 42.6,Fourth Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
287,8069001111,"Census Tract 11.11, Larimer County, Colorado",Larimer,2161,2,46.3,95% C.I.: 45.5 - 47,Lowest Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
288,8001009203,"Census Tract 92.03, Adams County, Colorado",Adams,3009,14,36.6,95% C.I.: 35.8 - 37.3,Highest Qunitile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
289,8001008505,"Census Tract 85.05, Adams County, Colorado",Adams,5419,14,41.9,95% C.I.: 41.3 - 42.6,Second Quintile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
290,8001008506,"Census Tract 85.06, Adams County, Colorado",Adams,4933,14,41,95% C.I.: 40.3 - 41.7,Middle Quintile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
291,8001009501,"Census Tract 95.01, Adams County, Colorado",Adams,2321,14,40.8,95% C.I.: 40.1 - 41.5,Middle Quintile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
292,8001009502,"Census Tract 95.02, Adams County, Colorado",Adams,3383,14,41.8,95% C.I.: 41 - 42.5,Second Quintile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
293,8001009309,"Census Tract 93.09, Adams County, Colorado",Adams,3117,14,44.6,95% C.I.: 43.8 - 45.4,Lowest Quintile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
294,8001009310,"Census Tract 93.10, Adams County, Colorado",Adams,4211,14,42.7,95% C.I.: 41.9 - 43.4,Second Quintile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
295,8001009319,"Census Tract 93.19, Adams County, Colorado",Adams,1702,14,42.2,95% C.I.: 41.5 - 42.9,Second Quintile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
296,8069001110,"Census Tract 11.10, Larimer County, Colorado",Larimer,4787,2,41.3,95% C.I.: 40.6 - 42.1,Highest Qunitile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
297,8069001008,"Census Tract 10.08, Larimer County, Colorado",Larimer,1643,2,42.5,95% C.I.: 41.9 - 43.2,Fourth Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
298,8069001004,"Census Tract 10.04, Larimer County, Colorado",Larimer,2626,2,46.1,95% C.I.: 45.5 - 46.8,Lowest Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
299,8069001003,"Census Tract 10.03, Larimer County, Colorado",Larimer,4090,2,43.7,95% C.I.: 43 - 44.4,Middle Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
300,8069000902,"Census Tract 9.02, Larimer County, Colorado",Larimer,2993,2,43,95% C.I.: 42.2 - 43.6,Middle Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
301,8069001603,"Census Tract 16.03, Larimer County, Colorado",Larimer,4185,2,41.4,95% C.I.: 40.6 - 42.2,Fourth Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
302,8069000901,"Census Tract 9.01, Larimer County, Colorado",Larimer,4742,2,43.8,95% C.I.: 43.2 - 44.4,Middle Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
303,8069001304,"Census Tract 13.04, Larimer County, Colorado",Larimer,1803,2,45.9,95% C.I.: 44.8 - 47.1,Lowest Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
304,8069000700,"Census Tract 7, Larimer County, Colorado",Larimer,2545,2,39.3,95% C.I.: 38.7 - 40,Highest Qunitile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
305,8001009316,"Census Tract 93.16, Adams County, Colorado",Adams,5222,14,45,95% C.I.: 44.3 - 45.7,Lowest Quintile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
306,8001009603,"Census Tract 96.03, Adams County, Colorado",Adams,4509,14,37.9,95% C.I.: 37.2 - 38.6,Highest Qunitile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
307,8001009321,"Census Tract 93.21, Adams County, Colorado",Adams,2796,14,40.2,95% C.I.: 39.4 - 40.9,Fourth Quintile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
308,8001009407,"Census Tract 94.07, Adams County, Colorado",Adams,3919,14,40,95% C.I.: 39.3 - 40.7,Fourth Quintile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
309,8001009323,"Census Tract 93.23, Adams County, Colorado",Adams,2934,14,39.2,95% C.I.: 38.5 - 39.9,Highest Qunitile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
310,8001009411,"Census Tract 94.11, Adams County, Colorado",Adams,2422,14,40.6,95% C.I.: 40 - 41.2,Middle Quintile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
311,8001009307,"Census Tract 93.07, Adams County, Colorado",Adams,2775,14,42,95% C.I.: 41.2 - 42.8,Second Quintile,County/Regional Estimate 41.4% (95% C.I.: 38.9 - 43.9),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
312,8069000600,"Census Tract 6, Larimer County, Colorado",Larimer,6433,2,38.3,95% C.I.: 37.5 - 39,Highest Qunitile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
313,8069001009,"Census Tract 10.09, Larimer County, Colorado",Larimer,4613,2,44.9,95% C.I.: 44.2 - 45.6,Second Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
314,8069000100,"Census Tract 1, Larimer County, Colorado",Larimer,2442,2,40.4,95% C.I.: 39.7 - 41,Highest Qunitile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
315,8069002300,"Census Tract 23, Larimer County, Colorado",Larimer,2688,2,44.5,95% C.I.: 43.8 - 45.1,Middle Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
316,8069001602,"Census Tract 16.02, Larimer County, Colorado",Larimer,3864,2,44.2,95% C.I.: 43.5 - 44.9,Middle Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
317,8069001306,"Census Tract 13.06, Larimer County, Colorado",Larimer,1920,2,44,95% C.I.: 43 - 44.9,Middle Quintile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
318,8069001305,"Census Tract 13.05, Larimer County, Colorado",Larimer,1929,2,39.9,95% C.I.: 39.1 - 40.6,Highest Qunitile,County/Regional Estimate 43.8% (95% C.I.: 41.3 - 46.2),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
319,8059010209,"Census Tract 102.09, Jefferson County, Colorado",Jefferson,4893,21,45.8,95% C.I.: 45.1 - 46.5,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
320,8059010305,"Census Tract 103.05, Jefferson County, Colorado",Jefferson,3053,21,42.4,95% C.I.: 41.8 - 43,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
321,8059009832,"Census Tract 98.32, Jefferson County, Colorado",Jefferson,2276,21,44.7,95% C.I.: 44.1 - 45.4,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
322,8059009833,"Census Tract 98.33, Jefferson County, Colorado",Jefferson,4615,21,46.6,95% C.I.: 45.9 - 47.2,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
323,8059009834,"Census Tract 98.34, Jefferson County, Colorado",Jefferson,3658,21,46.2,95% C.I.: 45.7 - 46.8,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
324,8059009831,"Census Tract 98.31, Jefferson County, Colorado",Jefferson,2249,21,39.9,95% C.I.: 39 - 40.7,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
325,8059010210,"Census Tract 102.10, Jefferson County, Colorado",Jefferson,3027,21,47.7,95% C.I.: 47.2 - 48.3,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
326,8059010206,"Census Tract 102.06, Jefferson County, Colorado",Jefferson,3251,21,46.7,95% C.I.: 46.2 - 47.2,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
327,8059009835,"Census Tract 98.35, Jefferson County, Colorado",Jefferson,3106,21,48.5,95% C.I.: 47.9 - 49,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
328,8059009828,"Census Tract 98.28, Jefferson County, Colorado",Jefferson,4354,21,47.3,95% C.I.: 46.7 - 47.9,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
329,8059010205,"Census Tract 102.05, Jefferson County, Colorado",Jefferson,1951,21,51.5,95% C.I.: 51 - 52,Lowest Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Lowest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
330,8059010303,"Census Tract 103.03, Jefferson County, Colorado",Jefferson,4335,21,46.5,95% C.I.: 46 - 47.1,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
331,8087000600,"Census Tract 6, Morgan County, Colorado",Morgan,4253,1,40.1,95% C.I.: 36.6 - 43.3,Fourth Quintile,County/Regional Estimate 44.7% (95% C.I.: 37.1 - 52.3),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
332,8087000200,"Census Tract 2, Morgan County, Colorado",Morgan,2217,1,41.4,95% C.I.: 38.8 - 43.7,Second Quintile,County/Regional Estimate 44.7% (95% C.I.: 37.1 - 52.3),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
333,8087000100,"Census Tract 1, Morgan County, Colorado",Morgan,2135,1,40.2,95% C.I.: 37.5 - 42.8,Fourth Quintile,County/Regional Estimate 44.7% (95% C.I.: 37.1 - 52.3),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
334,8087000500,"Census Tract 5, Morgan County, Colorado",Morgan,1801,1,38.4,95% C.I.: 35.3 - 41.5,Highest Qunitile,County/Regional Estimate 44.7% (95% C.I.: 37.1 - 52.3),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
335,8087000800,"Census Tract 8, Morgan County, Colorado",Morgan,1425,1,40.8,95% C.I.: 38.5 - 43.2,Middle Quintile,County/Regional Estimate 44.7% (95% C.I.: 37.1 - 52.3),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
336,8087000400,"Census Tract 4, Morgan County, Colorado",Morgan,3094,1,41.4,95% C.I.: 38.7 - 44.2,Second Quintile,County/Regional Estimate 44.7% (95% C.I.: 37.1 - 52.3),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
337,8087000300,"Census Tract 3, Morgan County, Colorado",Morgan,1686,1,39.1,95% C.I.: 36.1 - 41.7,Highest Qunitile,County/Regional Estimate 44.7% (95% C.I.: 37.1 - 52.3),Highest Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
338,8087000700,"Census Tract 7, Morgan County, Colorado",Morgan,4086,1,43.6,95% C.I.: 40.6 - 46.2,Second Quintile,County/Regional Estimate 44.7% (95% C.I.: 37.1 - 52.3),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
339,8059009830,"Census Tract 98.30, Jefferson County, Colorado",Jefferson,1856,21,44.5,95% C.I.: 43.9 - 45,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
340,8059009829,"Census Tract 98.29, Jefferson County, Colorado",Jefferson,1445,21,43.7,95% C.I.: 43.1 - 44.2,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
341,8059010212,"Census Tract 102.12, Jefferson County, Colorado",Jefferson,3435,21,44.7,95% C.I.: 44.1 - 45.4,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
342,8059009824,"Census Tract 98.24, Jefferson County, Colorado",Jefferson,3770,21,42.6,95% C.I.: 42 - 43.2,Highest Qunitile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Fourth Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
343,8059009823,"Census Tract 98.23, Jefferson County, Colorado",Jefferson,3697,21,45.1,95% C.I.: 44.6 - 45.6,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
344,8059010208,"Census Tract 102.08, Jefferson County, Colorado",Jefferson,4717,21,45.6,95% C.I.: 45.1 - 46.2,Middle Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
345,8059010213,"Census Tract 102.13, Jefferson County, Colorado",Jefferson,3945,21,44.8,95% C.I.: 44.2 - 45.4,Fourth Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Middle Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
346,8059010304,"Census Tract 103.04, Jefferson County, Colorado",Jefferson,2264,21,47.1,95% C.I.: 46.6 - 47.7,Second Quintile,County/Regional Estimate 46.4% (95% C.I.: 44.2 - 48.5),Second Quintile,State Estimate 44.0% (95% C.I.: 43.3 - 44.6)
