OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,NoCheckUp_Census_Tract_Estimate,NoCheckUp_Estimate_Confidence_Interval,NoCheckUp_Map_Symbol_withinHSR,NoCheckUp_County_Regional_Estimate,NoCheckUp_Map_Symbol_State,NoCheckUp_State_Estimate
22,8107000400,"Census Tract 4, Routt County, Colorado",Routt,2958,11,33.9,95% C.I.: 31.7 - 36.2,Middle Quintile,County/Regional Estimate 34.2% (95% C.I.: 26.8 - 41.5),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
23,8107000600,"Census Tract 6, Routt County, Colorado",Routt,2509,11,32.9,95% C.I.: 31 - 34.9,Second Quintile,County/Regional Estimate 34.2% (95% C.I.: 26.8 - 41.5),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
24,8107000300,"Census Tract 3, Routt County, Colorado",Routt,1805,11,30.4,95% C.I.: 28.4 - 32.5,Lowest Quintile,County/Regional Estimate 34.2% (95% C.I.: 26.8 - 41.5),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
25,8107000100,"Census Tract 1, Routt County, Colorado",Routt,1532,11,28.5,95% C.I.: 26.7 - 30.4,Lowest Quintile,County/Regional Estimate 34.2% (95% C.I.: 26.8 - 41.5),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
26,8051963900,"Census Tract 9639, Gunnison County, Colorado",Gunnison,776,10,42.2,95% C.I.: 39.2 - 45.7,Middle Quintile,County/Regional Estimate 45.2% (95% C.I.: 36.5 - 53.9),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
27,8051963700,"Census Tract 9637, Gunnison County, Colorado",Gunnison,5729,10,51,95% C.I.: 47.7 - 54.4,Highest Quintile,County/Regional Estimate 45.2% (95% C.I.: 36.5 - 53.9),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
28,8051963600,"Census Tract 9636, Gunnison County, Colorado",Gunnison,3065,10,46.9,95% C.I.: 44.5 - 49.6,Highest Quintile,County/Regional Estimate 45.2% (95% C.I.: 36.5 - 53.9),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
29,8051963800,"Census Tract 9638, Gunnison County, Colorado",Gunnison,3774,10,50.6,95% C.I.: 48 - 53.4,Highest Quintile,County/Regional Estimate 45.2% (95% C.I.: 36.5 - 53.9),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
30,8021974900,"Census Tract 9749, Conejos County, Colorado",Conejos,3029,8,42.1,95% C.I.: 37.6 - 47.1,Middle Quintile,County/Regional Estimate 42% (95% C.I.: 31.5 - 52.5),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
31,8021974800,"Census Tract 9748, Conejos County, Colorado",Conejos,2876,8,42.6,95% C.I.: 37.9 - 47.8,Middle Quintile,County/Regional Estimate 42% (95% C.I.: 31.5 - 52.5),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
32,8037000703,"Census Tract 7.03, Eagle County, Colorado",Eagle,2394,12,42.1,95% C.I.: 40.2 - 43.7,Middle Quintile,County/Regional Estimate 38.5% (95% C.I.: 32.7 - 44.4),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
33,8037000301,"Census Tract 3.01, Eagle County, Colorado",Eagle,4847,12,42.6,95% C.I.: 40.5 - 44.3,Fourth Quintile,County/Regional Estimate 38.5% (95% C.I.: 32.7 - 44.4),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
34,8037000702,"Census Tract 7.02, Eagle County, Colorado",Eagle,1428,12,38.7,95% C.I.: 36.9 - 40.3,Lowest Quintile,County/Regional Estimate 38.5% (95% C.I.: 32.7 - 44.4),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
35,8037000402,"Census Tract 4.02, Eagle County, Colorado",Eagle,3591,12,43.2,95% C.I.: 40.8 - 45,Fourth Quintile,County/Regional Estimate 38.5% (95% C.I.: 32.7 - 44.4),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
36,8037000501,"Census Tract 5.01, Eagle County, Colorado",Eagle,590,12,33.1,95% C.I.: 31.4 - 34.9,Lowest Quintile,County/Regional Estimate 38.5% (95% C.I.: 32.7 - 44.4),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
37,8037000502,"Census Tract 5.02, Eagle County, Colorado",Eagle,3371,12,46.4,95% C.I.: 44.3 - 48.1,Highest Quintile,County/Regional Estimate 38.5% (95% C.I.: 32.7 - 44.4),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
38,8037000302,"Census Tract 3.02, Eagle County, Colorado",Eagle,1834,12,39.2,95% C.I.: 37.4 - 40.9,Second Quintile,County/Regional Estimate 38.5% (95% C.I.: 32.7 - 44.4),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
39,8037000403,"Census Tract 4.03, Eagle County, Colorado",Eagle,5966,12,37.2,95% C.I.: 35.8 - 38.7,Lowest Quintile,County/Regional Estimate 38.5% (95% C.I.: 32.7 - 44.4),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
40,8037000701,"Census Tract 7.01, Eagle County, Colorado",Eagle,1326,12,42.5,95% C.I.: 40.9 - 44,Fourth Quintile,County/Regional Estimate 38.5% (95% C.I.: 32.7 - 44.4),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
41,8037000401,"Census Tract 4.01, Eagle County, Colorado",Eagle,3403,12,40.4,95% C.I.: 38.5 - 42,Middle Quintile,County/Regional Estimate 38.5% (95% C.I.: 32.7 - 44.4),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
42,8037000503,"Census Tract 5.03, Eagle County, Colorado",Eagle,4804,12,47.6,95% C.I.: 45.4 - 49.4,Highest Quintile,County/Regional Estimate 38.5% (95% C.I.: 32.7 - 44.4),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
43,8037000100,"Census Tract 1, Eagle County, Colorado",Eagle,1204,12,43.9,95% C.I.: 41.7 - 45.7,Fourth Quintile,County/Regional Estimate 38.5% (95% C.I.: 32.7 - 44.4),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
44,8037000600,"Census Tract 6, Eagle County, Colorado",Eagle,1354,12,36.3,95% C.I.: 34.4 - 38.1,Lowest Quintile,County/Regional Estimate 38.5% (95% C.I.: 32.7 - 44.4),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
45,8037000200,"Census Tract 2, Eagle County, Colorado",Eagle,5529,12,40.8,95% C.I.: 39.1 - 42.4,Middle Quintile,County/Regional Estimate 38.5% (95% C.I.: 32.7 - 44.4),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
46,8045951901,"Census Tract 9519.01, Garfield County, Colorado",Garfield,3467,12,38.6,95% C.I.: 37.3 - 40,Lowest Quintile,County/Regional Estimate 41.5% (95% C.I.: 36.3 - 46.7),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
47,8045951701,"Census Tract 9517.01, Garfield County, Colorado",Garfield,3103,12,41.4,95% C.I.: 39.9 - 42.8,Middle Quintile,County/Regional Estimate 41.5% (95% C.I.: 36.3 - 46.7),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
48,8045951902,"Census Tract 9519.02, Garfield County, Colorado",Garfield,5234,12,40.6,95% C.I.: 39.2 - 42.1,Middle Quintile,County/Regional Estimate 41.5% (95% C.I.: 36.3 - 46.7),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
49,8045951702,"Census Tract 9517.02, Garfield County, Colorado",Garfield,2948,12,40.1,95% C.I.: 38.8 - 41.5,Second Quintile,County/Regional Estimate 41.5% (95% C.I.: 36.3 - 46.7),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
50,8045952001,"Census Tract 9520.01, Garfield County, Colorado",Garfield,3716,12,42.9,95% C.I.: 41.2 - 44.5,Fourth Quintile,County/Regional Estimate 41.5% (95% C.I.: 36.3 - 46.7),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
51,8045952002,"Census Tract 9520.02, Garfield County, Colorado",Garfield,5960,12,41.3,95% C.I.: 39.8 - 42.8,Middle Quintile,County/Regional Estimate 41.5% (95% C.I.: 36.3 - 46.7),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
52,8045951803,"Census Tract 9518.03, Garfield County, Colorado",Garfield,4590,12,49.2,95% C.I.: 47.8 - 50.6,Highest Quintile,County/Regional Estimate 41.5% (95% C.I.: 36.3 - 46.7),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
53,8045951804,"Census Tract 9518.04, Garfield County, Colorado",Garfield,3152,12,37.6,95% C.I.: 36.3 - 39,Lowest Quintile,County/Regional Estimate 41.5% (95% C.I.: 36.3 - 46.7),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
54,8045951802,"Census Tract 9518.02, Garfield County, Colorado",Garfield,2946,12,39.5,95% C.I.: 38.2 - 40.9,Second Quintile,County/Regional Estimate 41.5% (95% C.I.: 36.3 - 46.7),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
55,8045952100,"Census Tract 9521, Garfield County, Colorado",Garfield,5069,12,40.1,95% C.I.: 38.5 - 41.6,Second Quintile,County/Regional Estimate 41.5% (95% C.I.: 36.3 - 46.7),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
56,8067970704,"Census Tract 9707.04, La Plata County, Colorado",La Plata,3333,9,40.3,95% C.I.: 39 - 41.6,Second Quintile,County/Regional Estimate 41.6% (95% C.I.: 36.7 - 46.5),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
57,8067970703,"Census Tract 9707.03, La Plata County, Colorado",La Plata,4471,9,40.7,95% C.I.: 39.3 - 42.1,Middle Quintile,County/Regional Estimate 41.6% (95% C.I.: 36.7 - 46.5),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
58,8067970701,"Census Tract 9707.01, La Plata County, Colorado",La Plata,3965,9,43.4,95% C.I.: 41.8 - 44.9,Fourth Quintile,County/Regional Estimate 41.6% (95% C.I.: 36.7 - 46.5),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
59,8067940300,"Census Tract 9403, La Plata County, Colorado",La Plata,4760,9,36.9,95% C.I.: 35.2 - 38.8,Lowest Quintile,County/Regional Estimate 41.6% (95% C.I.: 36.7 - 46.5),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
60,8097000500,"Census Tract 5, Pitkin County, Colorado",Pitkin,1867,12,41.9,95% C.I.: 39.1 - 44.8,Middle Quintile,County/Regional Estimate 40.5% (95% C.I.: 30.2 - 50.7),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
61,8097000401,"Census Tract 4.01, Pitkin County, Colorado",Pitkin,4147,12,38.3,95% C.I.: 35.6 - 41.2,Lowest Quintile,County/Regional Estimate 40.5% (95% C.I.: 30.2 - 50.7),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
